sensor_id,value,timestamp,sensor_type,location
sensor_2,50.0,2025-01-12T10:06:19,vibration,Bridge A
sensor_3,80.51,2025-01-12T10:07:19,strain,Bridge A
sensor_4,50.0,2025-01-12T10:08:19,vibration,Building B
sensor_5,34.21,2025-01-12T10:09:19,temperature,Building B
sensor_1,41.7,2025-01-12T10:10:19,temperature,Tower C
sensor_2,36.38,2025-01-12T10:11:19,temperature,Tower C
sensor_3,39.21,2025-01-12T10:12:19,temperature,Tower C
sensor_4,48.5,2025-01-12T10:13:19,vibration,Building B
sensor_5,13.18,2025-01-12T10:14:19,temperature,Building B
sensor_1,69.89,2025-01-12T10:15:19,strain,Bridge A
sensor_2,5.33,2025-01-12T10:16:19,strain,Bridge A
sensor_3,98.83,2025-01-12T10:17:19,temperature,Tower C
sensor_4,7.12,2025-01-12T10:18:19,temperature,Bridge A
sensor_5,21.05,2025-01-12T10:19:19,strain,Bridge A
sensor_1,43.41,2025-01-12T10:20:19,temperature,Tower C
sensor_2,0.93,2025-01-12T10:21:19,vibration,Bridge A
sensor_3,12.96,2025-01-12T10:22:19,temperature,Building B
sensor_4,36.05,2025-01-12T10:23:19,temperature,Tower C
sensor_5,72.91,2025-01-12T10:24:19,strain,Tower C
